frame,track_id,label,is_true_detection,lidar_distance,camera_distance,distance_diff,fps
205,-1,,0,0.6769999861717224,,,15.39
206,-1,,0,0.6840000152587891,,,15.01
207,-1,,0,0.6840000152587891,,,14.94
208,-1,,0,0.6840000152587891,,,14.98
209,-1,,0,0.6240000128746033,,,14.69
210,-1,,0,0.6240000128746033,,,14.9
211,-1,,0,0.6240000128746033,,,15.02
212,-1,,0,0.6460000276565552,,,15.14
213,-1,,0,0.6460000276565552,,,14.71
214,-1,,0,0.6460000276565552,,,14.69
215,-1,,0,0.6850000023841858,,,15.53
216,-1,,0,0.6850000023841858,,,14.97
217,-1,,0,0.6850000023841858,,,15.07
218,-1,,0,0.6899999976158142,,,15.04
219,-1,,0,0.6899999976158142,,,14.41
220,-1,,0,0.6899999976158142,,,15.62
221,-1,,0,0.6589999794960022,,,15.03
222,-1,,0,0.6589999794960022,,,14.9
223,-1,,0,0.6589999794960022,,,14.91
224,-1,,0,0.6790000200271606,,,14.6
225,-1,,0,0.6790000200271606,,,15.6
226,-1,,0,0.6790000200271606,,,15.03
227,-1,,0,0.6819999814033508,,,14.96
228,-1,,0,0.6819999814033508,,,14.94
229,-1,,0,0.6819999814033508,,,14.43
230,-1,,0,0.6840000152587891,,,15.74
231,-1,,0,0.6840000152587891,,,15.02
232,-1,,0,0.6840000152587891,,,14.64
233,-1,,0,0.6650000214576721,,,15.09
234,-1,,0,0.6650000214576721,,,14.52
235,-1,,0,0.6650000214576721,,,15.45
236,-1,,0,0.6660000085830688,,,15.27
237,-1,,0,0.6660000085830688,,,15.01
238,-1,,0,0.6660000085830688,,,15.06
239,-1,,0,0.6850000023841858,,,14.42
240,-1,,0,0.6850000023841858,,,15.64
241,-1,,0,0.6850000023841858,,,14.99
242,-1,,0,0.6790000200271606,,,14.97
243,-1,,0,0.6790000200271606,,,15.13
244,-1,,0,0.6790000200271606,,,14.87
245,-1,,0,0.6650000214576721,,,15.46
246,-1,,0,0.6650000214576721,,,14.27
247,-1,,0,0.6650000214576721,,,15.39
248,-1,,0,0.6859999895095825,,,14.9
249,-1,,0,0.6859999895095825,,,14.47
250,-1,,0,0.6859999895095825,,,15.68
251,-1,,0,0.6679999828338623,,,14.88
252,-1,,0,0.6679999828338623,,,15.05
253,-1,,0,0.6679999828338623,,,14.86
254,-1,,0,0.6650000214576721,,,14.56
255,-1,,0,0.6650000214576721,,,15.62
256,-1,,0,0.6650000214576721,,,15.08
257,-1,,0,0.6650000214576721,,,14.76
258,-1,,0,0.6650000214576721,,,15.19
259,-1,,0,0.6650000214576721,,,14.46
260,-1,,0,0.6269999742507935,,,15.67
261,-1,,0,0.6269999742507935,,,14.94
262,-1,,0,0.6269999742507935,,,15.04
263,-1,,0,0.6610000133514404,,,14.6
264,-1,,0,0.6610000133514404,,,14.7
265,-1,,0,0.6610000133514404,,,15.69
266,-1,,0,0.6740000247955322,,,15.05
267,-1,,0,0.6740000247955322,,,14.9
268,-1,,0,0.6740000247955322,,,15.09
269,-1,,0,0.6729999780654907,,,14.42
270,-1,,0,0.6729999780654907,,,15.31
271,-1,,0,0.6729999780654907,,,15.31
272,-1,,0,0.1589999943971634,,,15.03
273,-1,,0,0.1589999943971634,,,14.47
274,-1,,0,0.1589999943971634,,,14.84
275,-1,,0,0.12200000137090683,,,15.79
276,-1,,0,0.12200000137090683,,,14.99
277,-1,,0,0.12200000137090683,,,15.03
278,-1,,0,0.1340000033378601,,,15.0
279,-1,,0,0.1340000033378601,,,14.3
280,-1,,0,0.1340000033378601,,,15.69
281,-1,,0,0.12200000137090683,,,15.09
282,-1,,0,0.12200000137090683,,,15.0
283,-1,,0,0.12200000137090683,,,15.22
284,-1,,0,0.7020000219345093,,,14.18
285,-1,,0,0.7020000219345093,,,15.59
286,-1,,0,0.7020000219345093,,,15.04
287,-1,,0,0.6859999895095825,,,15.15
288,-1,,0,0.6859999895095825,,,14.96
289,-1,,0,0.6859999895095825,,,14.35
290,-1,,0,0.6859999895095825,,,15.84
291,-1,,0,0.6859999895095825,,,15.05
292,-1,,0,0.6859999895095825,,,14.96
293,-1,,0,0.20100000500679016,,,14.73
294,-1,,0,0.20100000500679016,,,14.34
295,-1,,0,0.20100000500679016,,,15.98
296,-1,,0,0.23499999940395355,,,15.03
297,-1,,0,0.23499999940395355,,,14.76
298,-1,,0,0.23499999940395355,,,15.15
299,-1,,0,0.21799999475479126,,,14.21
300,-1,,0,0.21799999475479126,,,15.83
301,-1,,0,0.21799999475479126,,,15.05
302,-1,,0,0.20399999618530273,,,15.01
303,-1,,0,0.20399999618530273,,,14.84
304,-1,,0,0.20399999618530273,,,14.32
305,-1,,0,0.19599999487400055,,,15.85
306,-1,,0,0.19599999487400055,,,14.95
307,-1,,0,0.19599999487400055,,,15.09
308,-1,,0,0.18299999833106995,,,14.75
309,-1,,0,0.18299999833106995,,,14.45
310,-1,,0,0.18299999833106995,,,15.83
311,-1,,0,0.1899999976158142,,,14.68
312,-1,,0,0.1899999976158142,,,15.37
313,-1,,0,0.1899999976158142,,,14.78
314,-1,,0,0.1940000057220459,,,14.14
315,-1,,0,0.1940000057220459,,,16.26
316,-1,,0,0.1940000057220459,,,15.15
317,-1,,0,0.2070000022649765,,,15.1
318,-1,,0,0.2070000022649765,,,14.99
319,-1,,0,0.2070000022649765,,,14.24
320,-1,,0,0.2070000022649765,,,16.0
321,-1,,0,0.2070000022649765,,,14.82
322,-1,,0,0.2070000022649765,,,15.24
323,-1,,0,0.29499998688697815,,,14.78
324,-1,,0,0.29499998688697815,,,14.22
325,-1,,0,0.29499998688697815,,,16.07
326,-1,,0,0.29499998688697815,,,15.03
327,-1,,0,0.29499998688697815,,,14.87
328,-1,,0,0.29499998688697815,,,14.99
329,-1,,0,0.4620000123977661,,,14.45
330,-1,,0,0.4620000123977661,,,15.65
331,-1,,0,0.4620000123977661,,,15.03
332,-1,,0,0.8230000138282776,,,15.01
333,-1,,0,0.8230000138282776,,,14.71
334,-1,,0,0.8230000138282776,,,14.62
335,-1,,0,1.6449999809265137,,,15.77
336,-1,,0,1.6449999809265137,,,15.34
337,-1,,0,1.6449999809265137,,,15.06
338,-1,,0,1.6449999809265137,,,14.99
339,-1,,0,1.6449999809265137,,,14.49
340,-1,,0,1.6449999809265137,,,15.44
341,-1,,0,1.2269999980926514,,,15.04
342,-1,,0,1.2269999980926514,,,15.01
343,11,turtlebot,1,1.2269999980926514,0.1697549544624083,1.057245043630243,14.6
344,11,turtlebot,1,1.0410000085830688,0.15328178361834238,0.8877182249647264,14.94
345,11,turtlebot,1,1.0410000085830688,0.19229297374632798,0.8487070348367409,15.34
346,11,turtlebot,1,1.0410000085830688,0.19229297374632798,0.8487070348367409,14.78
347,11,turtlebot,1,1.1460000276565552,0.1883025962529024,0.9576974314036528,15.3
348,11,turtlebot,1,1.1460000276565552,0.1697549544624083,0.9762450731941469,15.12
349,11,turtlebot,1,1.1460000276565552,0.16293540335793433,0.9830646242986208,14.02
350,11,turtlebot,1,1.1540000438690186,0.1697549544624083,0.9842450894066103,16.01
351,11,turtlebot,1,1.1540000438690186,0.16630513182015277,0.9876949120488658,14.82
352,11,turtlebot,1,1.1540000438690186,0.16293540335793433,0.9910646405110842,15.21
353,11,turtlebot,1,1.156000018119812,0.16630513182015277,0.9896948862996593,14.85
354,11,turtlebot,1,1.156000018119812,0.16630513182015277,0.9896948862996593,14.66
355,11,turtlebot,1,1.156000018119812,0.17328752938971514,0.9827124887300969,15.58
356,11,turtlebot,1,1.180999994277954,0.18061213959004363,1.0003878546879106,14.95
357,11,turtlebot,1,1.180999994277954,0.17328752938971514,1.007712464888239,12.19
358,11,turtlebot,1,1.180999994277954,0.17328752938971514,1.007712464888239,19.17
359,11,turtlebot,1,1.1729999780654907,0.17690562774745616,0.9960943503180346,14.75
360,11,turtlebot,1,1.1729999780654907,0.17328752938971514,0.9997124486757756,15.42
361,11,turtlebot,1,1.1729999780654907,0.1697549544624083,1.0032450236030823,14.8
362,11,turtlebot,1,1.0920000076293945,0.17328752938971514,0.9187124782396794,15.28
363,11,turtlebot,1,1.0920000076293945,0.1697549544624083,0.9222450531669862,14.77
364,11,turtlebot,1,1.0920000076293945,0.16630513182015277,0.9256948758092418,14.72
365,11,turtlebot,1,1.0829999446868896,0.1697549544624083,0.9132449902244814,15.47
366,11,turtlebot,1,1.0829999446868896,0.1697549544624083,0.9132449902244814,15.05
367,11,turtlebot,1,1.0829999446868896,0.16630513182015277,0.9166948128667369,12.87
368,11,turtlebot,1,2.2320001125335693,0.15964321847913937,2.07235689405443,17.86
369,11,turtlebot,1,2.2320001125335693,0.16630513182015277,2.0656949807134164,14.57
370,11,turtlebot,1,2.2320001125335693,0.16293540335793433,2.069064709175635,13.06
371,11,turtlebot,1,1.1349999904632568,0.15642612887832164,0.9785738615849352,18.32
372,11,turtlebot,1,1.1349999904632568,0.15964321847913937,0.9753567719841174,15.04
373,11,turtlebot,1,1.1349999904632568,0.15964321847913937,0.9753567719841174,14.8
374,11,turtlebot,1,1.1349999904632568,0.15328178361834238,0.9817182068449144,11.73
375,11,turtlebot,1,1.1299999952316284,0.15020792448300002,0.9797920707486284,21.23
376,11,turtlebot,1,1.1299999952316284,0.15328178361834238,0.976718211613286,14.99
377,11,turtlebot,1,1.1299999952316284,0.15328178361834238,0.976718211613286,15.05
378,11,turtlebot,1,1.1299999952316284,0.15964321847913937,0.970356776752489,14.94
379,11,turtlebot,1,1.1299999952316284,0.1472023815876175,0.9827976136440109,14.5
380,11,turtlebot,1,0.9190000295639038,0.15328178361834238,0.7657182459455614,15.55
381,11,turtlebot,1,0.9190000295639038,0.16630513182015277,0.7526948977437511,13.88
382,11,turtlebot,1,0.9190000295639038,0.16630513182015277,0.7526948977437511,16.33
383,11,turtlebot,1,1.024999976158142,0.14138798197575003,0.8836119941823921,14.95
384,11,turtlebot,1,1.024999976158142,0.15020792448300002,0.8747920516751421,14.62
385,11,turtlebot,1,1.024999976158142,0.15964321847913937,0.8653567576790027,13.76
386,11,turtlebot,1,1.1130000352859497,0.15328178361834238,0.9597182516676073,17.02
387,11,turtlebot,1,1.1130000352859497,0.15964321847913937,0.9533568168068103,12.17
388,11,turtlebot,1,1.1130000352859497,0.16293540335793433,0.9500646319280154,9.43
389,11,turtlebot,1,1.1130000352859497,0.16293540335793433,0.9500646319280154,9.43
390,11,turtlebot,1,2.1619999408721924,0.15020792448300002,2.0117920163891925,9.33
391,11,turtlebot,1,2.1619999408721924,0.1472023815876175,2.014797559284575,8.97
392,11,turtlebot,1,2.1689999103546143,0.15020792448300002,2.0187919858716143,14.1
393,11,turtlebot,1,2.1689999103546143,0.15642612887832164,2.0125737814762927,8.27
394,11,turtlebot,1,2.1689999103546143,0.15020792448300002,2.0187919858716143,13.84
395,11,turtlebot,1,2.1689999103546143,0.15328178361834238,2.015718126736272,13.91
396,11,turtlebot,1,1.0360000133514404,0.15964321847913937,0.876356794872301,9.03
397,11,turtlebot,1,1.0360000133514404,0.16293540335793433,0.8730646099935061,9.26
398,11,turtlebot,1,2.127000093460083,0.15328178361834238,1.9737183098417406,13.92
399,11,turtlebot,1,2.127000093460083,0.15020792448300002,1.976792168977083,13.91
400,11,turtlebot,1,1.065999984741211,0.15964321847913937,0.9063567662620715,14.84
401,11,turtlebot,1,1.065999984741211,0.15642612887832164,0.9095738558628893,9.14
402,11,turtlebot,1,1.065999984741211,0.15328178361834238,0.9127182011228685,15.01
403,11,turtlebot,1,0.9279999732971191,0.15642612887832164,0.7715738444187975,9.05
404,11,turtlebot,1,0.9279999732971191,0.16293540335793433,0.7650645699391848,13.91
405,11,turtlebot,1,1.0199999809265137,0.16293540335793433,0.8570645775685793,13.92
406,11,turtlebot,1,1.0199999809265137,0.15642612887832164,0.863573852048192,13.94
407,11,turtlebot,1,1.0199999809265137,0.15964321847913937,0.8603567624473742,14.04
408,11,turtlebot,1,0.9409999847412109,0.15964321847913937,0.7813567662620715,15.33
409,11,turtlebot,1,0.9409999847412109,0.15642612887832164,0.7845738558628893,10.47
410,11,turtlebot,1,0.9789999723434448,0.15964321847913937,0.8193567538643054,11.95
411,11,turtlebot,1,0.9789999723434448,0.15964321847913937,0.8193567538643054,13.77
412,11,turtlebot,1,0.9789999723434448,0.16293540335793433,0.8160645689855105,13.54
413,11,turtlebot,1,0.9649999737739563,0.16293540335793433,0.802064570416022,12.41
414,11,turtlebot,1,0.9649999737739563,0.17328752938971514,0.7917124443842412,13.85
415,11,turtlebot,1,0.9649999737739563,0.17328752938971514,0.7917124443842412,12.36
416,11,turtlebot,1,0.9399999976158142,0.18061213959004363,0.7593878580257706,12.14
417,11,turtlebot,1,0.9399999976158142,0.17328752938971514,0.7667124682260991,12.25
418,11,turtlebot,1,0.9309999942779541,0.1697549544624083,0.7612450398155458,13.4
419,11,turtlebot,1,0.9309999942779541,0.1697549544624083,0.7612450398155458,13.25
420,11,turtlebot,1,0.9309999942779541,0.17328752938971514,0.757712464888239,13.83
421,11,turtlebot,1,0.9190000295639038,0.1697549544624083,0.7492450751014955,12.59
422,11,turtlebot,1,0.9190000295639038,0.16630513182015277,0.7526948977437511,12.31
423,11,turtlebot,1,0.8980000019073486,0.1697549544624083,0.7282450474449403,12.18
424,11,turtlebot,1,0.8980000019073486,0.1697549544624083,0.7282450474449403,13.69
425,11,turtlebot,1,0.8980000019073486,0.17328752938971514,0.7247124725176335,12.58
426,11,turtlebot,1,0.9300000071525574,0.16630513182015277,0.7636948753324047,11.93
427,11,turtlebot,1,0.9300000071525574,0.16630513182015277,0.7636948753324047,12.99
428,11,turtlebot,1,0.847000002861023,0.16630513182015277,0.6806948710408702,12.12
429,11,turtlebot,1,0.847000002861023,0.16293540335793433,0.6840645995030886,13.21
430,11,turtlebot,1,0.847000002861023,0.15964321847913937,0.6873567843818835,13.2
431,11,turtlebot,1,0.847000002861023,0.15964321847913937,0.6873567843818835,11.87
432,11,turtlebot,1,0.847000002861023,0.16293540335793433,0.6840645995030886,12.92
433,11,turtlebot,1,0.8130000233650208,0.15964321847913937,0.6533568048858813,9.64
434,11,turtlebot,1,0.8130000233650208,0.15642612887832164,0.6565738944866991,13.09
435,11,turtlebot,1,0.8130000233650208,0.15020792448300002,0.6627920988820207,12.19
436,11,turtlebot,1,0.8410000205039978,0.15020792448300002,0.6907920960209978,12.94
437,11,turtlebot,1,0.8410000205039978,0.15020792448300002,0.6907920960209978,12.03
438,11,turtlebot,1,0.8870000243186951,0.1442630692313029,0.7427369550873921,13.07
439,11,turtlebot,1,0.8870000243186951,0.1442630692313029,0.7427369550873921,13.81
440,11,turtlebot,1,0.8870000243186951,0.1442630692313029,0.7427369550873921,9.81
441,11,turtlebot,1,0.8349999785423279,0.13857519093650617,0.6964247876058217,11.34
442,11,turtlebot,1,0.8349999785423279,0.13857519093650617,0.6964247876058217,14.15
