frame,yolo_time,coco_time,deep_time,total_time
1,0.17237544059753418,0.06090235710144043,3.981590270996094e-05,0.29536008834838867
2,0.24204516410827637,0.02311229705810547,0.007509708404541016,0.27845096588134766
3,0.008155345916748047,0.008642911911010742,0.00019121170043945312,0.02123284339904785
4,0.008122920989990234,0.008363723754882812,4.076957702636719e-05,0.02048182487487793
5,0.007918357849121094,0.008672237396240234,4.1484832763671875e-05,0.020891666412353516
6,0.008044958114624023,0.008588790893554688,3.5762786865234375e-05,0.020923137664794922
7,0.00836944580078125,0.008230447769165039,3.9577484130859375e-05,0.021091699600219727
8,0.007936239242553711,0.00818490982055664,4.1484832763671875e-05,0.0201718807220459
9,0.008019447326660156,0.008238792419433594,3.62396240234375e-05,0.02030634880065918
10,0.00803518295288086,0.00824594497680664,3.5762786865234375e-05,0.02028346061706543
11,0.008059978485107422,0.008265972137451172,4.1484832763671875e-05,0.020699739456176758
12,0.008003950119018555,0.008240699768066406,3.9577484130859375e-05,0.020377159118652344
13,0.008002281188964844,0.008311271667480469,3.8623809814453125e-05,0.020385026931762695
14,0.007961034774780273,0.008229970932006836,4.124641418457031e-05,0.02024078369140625
15,0.007939577102661133,0.008586883544921875,3.814697265625e-05,0.02074408531188965
16,0.007344961166381836,0.007678031921386719,4.00543212890625e-05,0.018996715545654297
17,0.007157564163208008,0.007627725601196289,4.1961669921875e-05,0.01886463165283203
18,0.014285087585449219,0.007736682891845703,3.814697265625e-05,0.026143312454223633
19,0.0074770450592041016,0.0073699951171875,5.030632019042969e-05,0.019756078720092773
20,0.007157087326049805,0.007495403289794922,4.267692565917969e-05,0.018784523010253906
21,0.007153034210205078,0.007289409637451172,3.743171691894531e-05,0.018520355224609375
22,0.015001296997070312,0.008051633834838867,3.8623809814453125e-05,0.027513742446899414
23,0.007261753082275391,0.007573127746582031,3.9577484130859375e-05,0.018878698348999023
24,0.007090568542480469,0.007078886032104492,3.457069396972656e-05,0.01816725730895996
25,0.014449834823608398,0.01615142822265625,6.413459777832031e-05,0.03474831581115723
26,0.007350444793701172,0.014400959014892578,4.363059997558594e-05,0.02601909637451172
27,0.007397174835205078,0.007376432418823242,3.5762786865234375e-05,0.01880645751953125
28,0.014266490936279297,0.007720470428466797,8.58306884765625e-05,0.02620720863342285
29,0.015426397323608398,0.014518260955810547,3.361701965332031e-05,0.034053802490234375
30,0.014686107635498047,0.007539033889770508,4.076957702636719e-05,0.026832103729248047
31,0.007533073425292969,0.014225244522094727,3.838539123535156e-05,0.025912761688232422
32,0.007143974304199219,0.007185459136962891,3.647804260253906e-05,0.01833629608154297
33,0.015366792678833008,0.014761924743652344,3.790855407714844e-05,0.03480887413024902
34,0.007261037826538086,0.007322549819946289,3.7670135498046875e-05,0.018607378005981445
35,0.00740504264831543,0.0074613094329833984,3.3855438232421875e-05,0.01897716522216797
36,0.007367610931396484,0.0074558258056640625,3.647804260253906e-05,0.019554853439331055
37,0.007435798645019531,0.007963180541992188,4.3392181396484375e-05,0.019682884216308594
38,0.007439374923706055,0.0075244903564453125,3.814697265625e-05,0.01914811134338379
39,0.007883787155151367,0.00778651237487793,3.719329833984375e-05,0.0199127197265625
40,0.0074405670166015625,0.007551908493041992,3.4809112548828125e-05,0.019068002700805664
41,0.0077130794525146484,0.007696866989135742,3.695487976074219e-05,0.019768238067626953
