frame,id,label,x1,y1,x2,y2,offset_x
222,16,turtlebot,89,30,165,119,-0.20625
223,16,turtlebot,88,33,163,120,-0.215625
224,16,turtlebot,87,33,162,121,-0.221875
225,16,turtlebot,86,34,161,121,-0.228125
226,16,turtlebot,86,34,161,122,-0.228125
227,16,turtlebot,88,34,164,121,-0.2125
228,16,turtlebot,89,33,165,121,-0.20625
229,16,turtlebot,90,34,167,123,-0.196875
230,16,turtlebot,90,34,167,123,-0.196875
231,16,turtlebot,92,34,169,124,-0.184375
232,16,turtlebot,94,34,171,124,-0.171875
233,16,turtlebot,94,36,172,126,-0.16875
234,16,turtlebot,97,36,174,126,-0.153125
235,16,turtlebot,98,36,177,127,-0.140625
236,16,turtlebot,99,36,178,127,-0.134375
237,16,turtlebot,100,36,179,128,-0.128125
238,16,turtlebot,100,37,180,128,-0.125
239,16,turtlebot,103,38,181,129,-0.1125
240,16,turtlebot,103,40,182,130,-0.109375
241,16,turtlebot,104,40,183,131,-0.103125
242,16,turtlebot,106,38,186,130,-0.0875
243,16,turtlebot,107,39,187,132,-0.08125
244,16,turtlebot,107,41,187,133,-0.08125
245,16,turtlebot,108,42,188,134,-0.075
246,16,turtlebot,107,40,189,135,-0.075
247,16,turtlebot,107,41,189,136,-0.075
248,16,turtlebot,107,41,189,136,-0.075
249,16,turtlebot,108,41,191,136,-0.065625
250,16,turtlebot,108,42,191,138,-0.065625
251,16,turtlebot,108,43,191,139,-0.065625
252,16,turtlebot,109,43,192,139,-0.059375
253,16,turtlebot,109,43,193,140,-0.05625
254,16,turtlebot,110,45,193,142,-0.053125
255,16,turtlebot,110,44,193,142,-0.053125
256,16,turtlebot,110,44,194,143,-0.05
257,16,turtlebot,110,47,193,144,-0.053125
258,16,turtlebot,110,47,193,145,-0.053125
259,16,turtlebot,110,47,194,145,-0.05
260,16,turtlebot,110,48,194,146,-0.05
261,16,turtlebot,110,50,194,148,-0.05
262,16,turtlebot,110,50,194,149,-0.05
263,16,turtlebot,110,49,195,149,-0.046875
264,16,turtlebot,110,50,196,152,-0.04375
265,16,turtlebot,110,51,197,153,-0.040625
266,16,turtlebot,110,51,197,153,-0.040625
267,16,turtlebot,111,51,198,154,-0.034375
268,16,turtlebot,111,53,199,155,-0.03125
269,16,turtlebot,112,55,199,157,-0.028125
270,16,turtlebot,113,54,200,157,-0.021875
271,16,turtlebot,113,55,201,157,-0.01875
272,16,turtlebot,113,56,201,158,-0.01875
273,16,turtlebot,113,58,201,160,-0.01875
274,16,turtlebot,114,58,202,160,-0.0125
275,16,turtlebot,114,59,202,161,-0.0125
276,16,turtlebot,113,61,202,164,-0.015625
277,16,turtlebot,113,61,203,165,-0.0125
278,16,turtlebot,113,61,204,166,-0.009375
279,16,turtlebot,113,62,204,168,-0.009375
280,16,turtlebot,113,63,205,170,-0.00625
281,16,turtlebot,113,64,205,171,-0.00625
282,16,turtlebot,113,64,206,171,-0.003125
283,16,turtlebot,113,65,205,173,-0.00625
284,16,turtlebot,113,66,206,174,-0.003125
285,16,turtlebot,113,67,206,175,-0.003125
286,16,turtlebot,113,67,207,176,0.0
287,16,turtlebot,113,68,206,177,-0.003125
288,16,turtlebot,113,70,207,179,0.0
289,16,turtlebot,113,70,207,180,0.0
290,16,turtlebot,113,71,207,181,0.0
291,16,turtlebot,112,73,207,184,-0.003125
292,16,turtlebot,112,74,207,185,-0.003125
293,16,turtlebot,111,74,208,186,-0.003125
294,16,turtlebot,111,74,208,187,-0.003125
295,16,turtlebot,112,77,208,188,0.0
296,16,turtlebot,111,78,208,190,-0.003125
297,16,turtlebot,110,77,208,191,-0.00625
298,16,turtlebot,111,78,209,192,0.0
299,16,turtlebot,110,79,209,194,-0.003125
300,16,turtlebot,110,79,209,194,-0.003125
301,16,turtlebot,110,80,209,194,-0.003125
302,16,turtlebot,110,80,209,195,-0.003125
303,16,turtlebot,110,80,209,194,-0.003125
304,16,turtlebot,110,80,209,194,-0.003125
305,16,turtlebot,110,79,210,194,0.0
306,16,turtlebot,110,79,210,194,0.0
307,16,turtlebot,110,79,210,194,0.0
308,16,turtlebot,110,79,210,194,0.0
309,16,turtlebot,109,80,210,194,-0.003125
310,16,turtlebot,110,79,210,194,0.0
311,16,turtlebot,110,79,210,194,0.0
312,16,turtlebot,110,79,210,194,0.0
313,16,turtlebot,110,79,210,194,0.0
314,16,turtlebot,109,79,210,194,-0.003125
315,16,turtlebot,109,79,210,194,-0.003125
316,16,turtlebot,109,79,210,194,-0.003125
317,16,turtlebot,110,79,210,194,0.0
318,16,turtlebot,109,79,210,194,-0.003125
319,16,turtlebot,109,79,210,194,-0.003125
320,16,turtlebot,109,79,210,194,-0.003125
321,16,turtlebot,109,79,210,194,-0.003125
322,16,turtlebot,109,79,210,194,-0.003125
323,16,turtlebot,109,79,210,194,-0.003125
324,16,turtlebot,109,79,210,194,-0.003125
325,16,turtlebot,109,79,210,194,-0.003125
326,16,turtlebot,109,79,210,194,-0.003125
327,16,turtlebot,109,79,210,194,-0.003125
328,16,turtlebot,109,79,210,194,-0.003125
329,16,turtlebot,109,79,210,194,-0.003125
330,16,turtlebot,110,79,211,194,0.003125
331,16,turtlebot,110,79,210,194,0.0
332,16,turtlebot,110,79,211,194,0.003125
333,16,turtlebot,110,79,211,194,0.003125
334,16,turtlebot,110,79,211,194,0.003125
335,16,turtlebot,110,79,211,194,0.003125
336,16,turtlebot,110,79,211,194,0.003125
337,16,turtlebot,110,79,211,193,0.003125
338,16,turtlebot,110,79,210,193,0.0
339,16,turtlebot,110,79,210,193,0.0
340,16,turtlebot,109,77,209,192,-0.00625
341,16,turtlebot,108,75,209,190,-0.009375
342,16,turtlebot,108,73,210,189,-0.00625
343,16,turtlebot,109,72,212,188,0.003125
344,16,turtlebot,111,71,213,188,0.0125
345,16,turtlebot,112,70,214,187,0.01875
346,16,turtlebot,112,70,214,187,0.01875
347,16,turtlebot,111,68,214,186,0.015625
348,16,turtlebot,111,67,213,184,0.0125
349,16,turtlebot,109,65,211,182,0.0
350,16,turtlebot,108,61,209,177,-0.009375
351,16,turtlebot,106,54,208,170,-0.01875
352,16,turtlebot,105,49,205,164,-0.03125
353,16,turtlebot,103,46,202,160,-0.046875
